CodEntrega,CodVenta,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Tiempo_Entrega,Costo_Total_Entrega,Entregado_A_Tiempo,Costo_Por_Km,Distancia_Recorrida_Km,CodProveedor,CodRango,CodEstado,CodAlmacen
1,1,2021-01-02,2021-01-06,2021-01-03,1 días,411.81,Si,12.49,32.97,2,1,3,6
2,2,2021-01-01,2021-01-05,2021-01-04,3 días,265.56,Si,25.36,10.47,2,1,3,9
3,3,2021-01-02,2021-01-06,2021-01-06,4 días,396.08,Si,16.21,24.44,3,1,3,4
4,4,2021-01-03,2021-01-07,,Pendiente,1302.68,Pendiente,5.2,250.67,4,2,2,5
5,5,2021-01-03,2021-01-07,,Pendiente,333.02,Pendiente,15.97,20.85,2,1,2,2
6,6,2021-01-01,2021-01-05,2021-01-06,5 días,455.09,No,13.85,32.87,3,1,3,9
7,7,2021-01-01,2021-01-05,2021-01-07,6 días,1001.58,No,6.66,150.35,5,2,4,1
8,8,2021-01-02,2021-01-06,,Pendiente,429.5,Pendiente,9.93,43.25,1,1,2,11
9,9,2021-01-01,2021-01-05,2021-01-03,2 días,244.16,Si,19.75,12.36,1,1,3,3
10,10,2021-01-02,2021-01-06,2021-01-03,1 días,275.3,Si,15.69,17.55,1,1,3,2
11,11,2021-01-02,2021-01-06,2021-01-07,5 días,411.74,No,10.22,40.29,1,1,3,14
12,12,2021-01-01,2021-01-05,2021-01-06,5 días,496.05,No,10.8,45.93,2,1,3,15
13,13,2021-01-01,2021-01-05,2021-01-06,5 días,351.94,No,14.81,23.76,2,1,3,13
14,14,2021-01-02,2021-01-06,,Pendiente,548.33,Pendiente,11.87,46.19,3,1,2,6
15,15,2021-01-02,2021-01-06,2021-01-08,6 días,386.13,No,13.31,29.02,2,1,3,6
16,16,2021-01-01,2021-01-05,2021-01-05,4 días,3421.86,Si,2.43,1410.93,7,3,3,2
17,17,2021-01-03,2021-01-07,2021-01-06,3 días,295.35,Si,29.39,10.05,3,1,4,10
18,18,2021-01-01,2021-01-05,2021-01-07,6 días,484.02,No,10.98,44.08,2,1,3,12
19,19,2021-01-03,2021-01-07,2021-01-04,1 días,552.25,Si,11.81,46.75,3,1,3,7
20,20,2021-01-02,2021-01-06,2021-01-08,6 días,349.32,No,19.67,17.76,3,1,3,6
21,21,2021-01-02,2021-01-06,2021-01-03,1 días,530.76,Si,12.15,43.68,3,1,3,1
22,22,2021-01-03,2021-01-07,2021-01-09,6 días,445.09,No,11.69,38.09,2,1,3,6
23,23,2021-01-04,2021-01-08,,Pendiente,357.86,Pendiente,18.85,18.98,3,1,2,3
24,24,2021-01-04,2021-01-08,,Pendiente,254.63,Pendiente,28.97,8.79,2,1,2,15
25,25,2021-01-04,2021-01-08,2021-01-07,3 días,422.96,Si,10.03,42.16,1,1,3,11
26,26,2021-01-02,2021-01-06,2021-01-06,4 días,337.21,Si,21.04,16.03,3,1,3,14
27,27,2021-01-02,2021-01-06,,Pendiente,355.04,Pendiente,11.51,30.84,1,1,1,7
28,28,2021-01-03,2021-01-07,2021-01-05,2 días,486.38,Si,13.03,37.34,3,1,3,11
29,29,2021-01-03,2021-01-07,2021-01-07,4 días,402.98,Si,10.38,38.83,1,1,3,8
30,30,2021-01-03,2021-01-07,2021-01-08,5 días,339.14,No,12.03,28.19,1,1,3,2
31,31,2021-01-02,2021-01-06,2021-01-07,5 días,257.18,No,17.7,14.53,1,1,3,6
32,32,2021-01-04,2021-01-08,2021-01-10,6 días,617.92,No,7.77,79.48,4,2,3,2
33,33,2021-01-03,2021-01-07,2021-01-08,5 días,2575.08,No,2.61,987.54,7,3,3,14
34,34,2021-01-03,2021-01-07,2021-01-07,4 días,776.31,Si,7.74,100.29,5,2,3,1
35,35,2021-01-03,2021-01-07,2021-01-05,2 días,325.29,Si,16.55,19.66,2,1,4,4
36,36,2021-01-05,2021-01-09,2021-01-12,7 días,891.01,No,7.08,125.78,5,2,3,14
37,37,2021-01-04,2021-01-08,2021-01-05,1 días,1068.49,Si,6.47,165.22,5,2,3,8
38,38,2021-01-04,2021-01-08,2021-01-05,1 días,283.38,Si,33.98,8.34,3,1,3,8
39,39,2021-01-04,2021-01-08,2021-01-07,3 días,215.78,Si,28.28,7.63,1,1,3,13
40,40,2021-01-04,2021-01-08,2021-01-05,1 días,380.68,Si,17.12,22.24,3,1,3,9
41,41,2021-01-04,2021-01-08,2021-01-07,3 días,325.49,Si,16.53,19.69,2,1,3,12
42,42,2021-01-05,2021-01-09,2021-01-08,3 días,561.14,Si,11.69,48.02,3,1,3,8
43,43,2021-01-05,2021-01-09,2021-01-07,2 días,340.1,Si,12.0,28.35,1,1,3,6
44,44,2021-01-03,2021-01-07,2021-01-08,5 días,486.69,No,10.94,44.49,2,1,3,2
45,45,2021-01-05,2021-01-09,,Pendiente,353.11,Pendiente,14.75,23.94,2,1,2,6
46,46,2021-01-04,2021-01-08,2021-01-11,7 días,1737.2,No,6.26,277.44,6,2,3,3
47,47,2021-01-05,2021-01-09,,Pendiente,476.37,Pendiente,13.27,35.91,3,1,1,2
48,48,2021-01-05,2021-01-09,2021-01-06,1 días,361.88,Si,11.32,31.98,1,1,3,12
49,49,2021-01-04,2021-01-08,,Pendiente,418.27,Pendiente,15.15,27.61,3,1,1,3
50,50,2021-01-05,2021-01-09,2021-01-09,4 días,1254.85,Si,6.93,180.97,6,2,4,8
51,51,2021-01-06,2021-01-10,2021-01-07,1 días,317.84,Si,12.9,24.64,1,1,3,2
52,52,2021-01-06,2021-01-10,2021-01-12,6 días,431.24,No,9.9,43.54,1,1,3,7
53,53,2021-01-06,2021-01-10,2021-01-07,1 días,401.47,Si,12.79,31.38,2,1,3,5
54,54,2021-01-05,2021-01-09,2021-01-12,7 días,3126.91,No,2.86,1094.31,8,3,3,8
55,55,2021-01-05,2021-01-09,2021-01-09,4 días,521.56,Si,9.42,55.39,4,2,3,1
56,56,2021-01-05,2021-01-09,2021-01-12,7 días,1232.12,No,5.29,233.03,4,2,4,6
57,57,2021-01-05,2021-01-09,2021-01-11,6 días,499.68,No,12.73,39.24,3,1,4,10
58,58,2021-01-05,2021-01-09,2021-01-09,4 días,285.8,Si,14.81,19.3,1,1,3,13
59,59,2021-01-05,2021-01-09,2021-01-10,5 días,1092.96,No,5.51,198.24,4,2,3,15
60,60,2021-01-05,2021-01-09,2021-01-06,1 días,306.55,Si,26.31,11.65,3,1,4,11
61,61,2021-01-06,2021-01-10,2021-01-12,6 días,437.18,No,9.82,44.53,1,1,3,1
62,62,2021-01-06,2021-01-10,2021-01-08,2 días,329.25,Si,16.24,20.27,2,1,3,1
63,63,2021-01-06,2021-01-10,2021-01-09,3 días,983.58,Si,6.72,146.35,5,2,3,6
64,64,2021-01-04,2021-01-08,2021-01-09,5 días,542.87,No,11.95,45.41,3,1,3,1
65,65,2021-01-07,2021-01-11,2021-01-13,6 días,410.18,No,12.54,32.72,2,1,3,6
66,66,2021-01-07,2021-01-11,,Pendiente,530.34,Pendiente,12.16,43.62,3,1,2,6
67,67,2021-01-06,2021-01-10,2021-01-09,3 días,1102.0,Si,5.5,200.5,4,2,3,14
68,68,2021-01-07,2021-01-11,2021-01-13,6 días,374.31,No,17.55,21.33,3,1,3,6
69,69,2021-01-05,2021-01-09,2021-01-07,2 días,493.94,Si,12.86,38.42,3,1,3,1
70,70,2021-01-07,2021-01-11,2021-01-12,5 días,1510.84,No,5.73,263.52,5,2,3,1
71,71,2021-01-07,2021-01-11,2021-01-11,4 días,348.34,Si,19.77,17.62,3,1,3,9
72,72,2021-01-07,2021-01-11,2021-01-08,1 días,383.21,Si,13.41,28.57,2,1,3,11
73,73,2021-01-06,2021-01-10,2021-01-13,7 días,357.58,No,18.88,18.94,3,1,3,3
74,74,2021-01-06,2021-01-10,2021-01-08,2 días,451.06,Si,11.56,39.01,2,1,3,4
75,75,2021-01-05,2021-01-09,2021-01-07,2 días,531.39,Si,12.14,43.77,3,1,3,11
76,76,2021-01-08,2021-01-12,2021-01-13,5 días,623.6,No,7.71,80.9,4,2,3,1
77,77,2021-01-06,2021-01-10,2021-01-10,4 días,353.66,Si,19.24,18.38,3,1,3,14
78,78,2021-01-08,2021-01-12,2021-01-13,5 días,318.1,No,23.92,13.3,3,1,3,11
79,79,2021-01-08,2021-01-12,2021-01-13,5 días,467.42,No,9.43,49.57,1,1,3,6
80,80,2021-01-08,2021-01-12,2021-01-12,4 días,322.51,Si,23.15,13.93,3,1,3,3
81,81,2021-01-08,2021-01-12,2021-01-15,7 días,923.73,No,6.94,133.05,5,2,3,12
82,82,2021-01-09,2021-01-13,2021-01-10,1 días,302.21,Si,27.4,11.03,3,1,3,15
83,83,2021-01-08,2021-01-12,,Pendiente,491.56,Pendiente,12.91,38.08,3,1,2,4
84,84,2021-01-09,2021-01-13,2021-01-16,7 días,475.05,No,11.13,42.7,2,1,3,6
85,85,2021-01-09,2021-01-13,2021-01-15,6 días,398.22,No,12.9,30.88,2,1,3,6
86,86,2021-01-07,2021-01-11,2021-01-08,1 días,292.55,Si,30.32,9.65,3,1,3,4
87,87,2021-01-09,2021-01-13,2021-01-15,6 días,279.62,No,15.3,18.27,1,1,4,8
88,88,2021-01-09,2021-01-13,2021-01-16,7 días,1431.16,No,5.06,282.79,4,2,3,8
89,89,2021-01-07,2021-01-11,2021-01-09,2 días,463.63,Si,13.6,34.09,3,1,3,3
90,90,2021-01-08,2021-01-12,2021-01-09,1 días,511.86,Si,12.49,40.98,3,1,4,11
91,91,2021-01-09,2021-01-13,2021-01-10,1 días,400.58,Si,10.42,38.43,1,1,3,1
92,92,2021-01-08,2021-01-12,2021-01-11,3 días,1510.8,Si,6.51,232.16,6,2,3,8
93,93,2021-01-08,2021-01-12,2021-01-11,3 días,1769.95,Si,6.23,283.99,6,2,3,14
94,94,2021-01-09,2021-01-13,2021-01-11,2 días,472.52,Si,13.36,35.36,3,1,3,4
95,95,2021-01-09,2021-01-13,2021-01-14,5 días,492.47,No,10.85,45.38,2,1,3,6
96,96,2021-01-08,2021-01-12,2021-01-15,7 días,251.42,No,18.53,13.57,1,1,3,2
97,97,2021-01-07,2021-01-11,2021-01-09,2 días,3050.3,Si,2.87,1061.0,8,3,3,6
98,98,2021-01-09,2021-01-13,2021-01-10,1 días,1139.65,Si,7.22,157.93,6,2,3,14
99,99,2021-01-07,2021-01-11,2021-01-13,6 días,358.28,No,18.82,19.04,3,1,3,7
100,100,2021-01-10,2021-01-14,,Pendiente,364.86,Pendiente,18.26,19.98,3,1,2,3
101,101,2021-01-08,2021-01-12,2021-01-11,3 días,335.11,Si,15.83,21.17,2,1,3,15
102,102,2021-01-08,2021-01-12,2021-01-13,5 días,264.12,No,25.77,10.25,2,1,3,1
103,103,2021-01-08,2021-01-12,2021-01-14,6 días,414.53,No,12.41,33.39,2,1,3,11
104,104,2021-01-08,2021-01-12,2021-01-14,6 días,396.4,No,12.95,30.6,2,1,3,11
105,105,2021-01-10,2021-01-14,2021-01-13,3 días,309.3,Si,17.98,17.2,2,1,3,1
106,106,2021-01-09,2021-01-13,2021-01-14,5 días,1453.68,No,3.41,426.84,7,3,3,13
107,107,2021-01-10,2021-01-14,2021-01-15,5 días,499.75,No,10.75,46.5,2,1,3,6
108,108,2021-01-10,2021-01-14,2021-01-16,6 días,350.9,No,11.64,30.15,1,1,3,6
109,109,2021-01-10,2021-01-14,2021-01-14,4 días,651.65,Si,8.98,72.59,5,2,3,9
110,110,2021-01-09,2021-01-13,2021-01-16,7 días,1159.43,No,6.25,185.43,5,2,3,4
111,111,2021-01-09,2021-01-13,2021-01-16,7 días,289.54,No,20.45,14.16,2,1,3,9
112,112,2021-01-08,2021-01-12,2021-01-09,1 días,384.44,Si,10.76,35.74,1,1,3,7
113,113,2021-01-10,2021-01-14,2021-01-14,4 días,451.24,Si,13.96,32.32,3,1,3,1
