VentaSK,SK_Proveedor,SK_RangoDistancia,SK_EstadoPedido,SK_Almacen,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Distancia_Km,Costo_Total,Costo_Por_Km,Tiempo_Entrega_Dias,Entregado_A_Tiempo
1,2,1,3,6,2021-01-02,2021-01-06,2021-01-03,32.97,411.81,12.49,1,Si
2,2,1,3,9,2021-01-01,2021-01-05,2021-01-04,10.47,265.56,25.36,3,Si
3,3,1,3,4,2021-01-02,2021-01-06,2021-01-06,24.44,396.08,16.21,4,Si
4,4,2,2,5,2021-01-03,2021-01-07,,250.67,1302.68,5.2,0,Pendiente
5,2,1,2,2,2021-01-03,2021-01-07,,20.85,333.02,15.97,0,Pendiente
6,3,1,3,9,2021-01-01,2021-01-05,2021-01-06,32.87,455.09,13.85,5,No
7,5,2,4,1,2021-01-01,2021-01-05,2021-01-07,150.35,1001.58,6.66,6,No
8,1,1,2,11,2021-01-02,2021-01-06,,43.25,429.5,9.93,0,Pendiente
9,1,1,3,3,2021-01-01,2021-01-05,2021-01-03,12.36,244.16,19.75,2,Si
10,1,1,3,2,2021-01-02,2021-01-06,2021-01-03,17.55,275.3,15.69,1,Si
11,1,1,3,14,2021-01-02,2021-01-06,2021-01-07,40.29,411.74,10.22,5,No
12,2,1,3,15,2021-01-01,2021-01-05,2021-01-06,45.93,496.05,10.8,5,No
13,2,1,3,13,2021-01-01,2021-01-05,2021-01-06,23.76,351.94,14.81,5,No
14,3,1,2,6,2021-01-02,2021-01-06,,46.19,548.33,11.87,0,Pendiente
15,2,1,3,6,2021-01-02,2021-01-06,2021-01-08,29.02,386.13,13.31,6,No
16,7,3,3,2,2021-01-01,2021-01-05,2021-01-05,1410.93,3421.86,2.43,4,Si
17,3,1,4,10,2021-01-03,2021-01-07,2021-01-06,10.05,295.35,29.39,3,Si
18,2,1,3,12,2021-01-01,2021-01-05,2021-01-07,44.08,484.02,10.98,6,No
19,3,1,3,7,2021-01-03,2021-01-07,2021-01-04,46.75,552.25,11.81,1,Si
20,3,1,3,6,2021-01-02,2021-01-06,2021-01-08,17.76,349.32,19.67,6,No
21,3,1,3,1,2021-01-02,2021-01-06,2021-01-03,43.68,530.76,12.15,1,Si
22,2,1,3,6,2021-01-03,2021-01-07,2021-01-09,38.09,445.09,11.69,6,No
23,3,1,2,3,2021-01-04,2021-01-08,,18.98,357.86,18.85,0,Pendiente
24,2,1,2,15,2021-01-04,2021-01-08,,8.79,254.63,28.97,0,Pendiente
25,1,1,3,11,2021-01-04,2021-01-08,2021-01-07,42.16,422.96,10.03,3,Si
26,3,1,3,14,2021-01-02,2021-01-06,2021-01-06,16.03,337.21,21.04,4,Si
27,1,1,1,7,2021-01-02,2021-01-06,,30.84,355.04,11.51,0,Pendiente
28,3,1,3,11,2021-01-03,2021-01-07,2021-01-05,37.34,486.38,13.03,2,Si
29,1,1,3,8,2021-01-03,2021-01-07,2021-01-07,38.83,402.98,10.38,4,Si
30,1,1,3,2,2021-01-03,2021-01-07,2021-01-08,28.19,339.14,12.03,5,No
31,1,1,3,6,2021-01-02,2021-01-06,2021-01-07,14.53,257.18,17.7,5,No
32,4,2,3,2,2021-01-04,2021-01-08,2021-01-10,79.48,617.92,7.77,6,No
33,7,3,3,14,2021-01-03,2021-01-07,2021-01-08,987.54,2575.08,2.61,5,No
34,5,2,3,1,2021-01-03,2021-01-07,2021-01-07,100.29,776.31,7.74,4,Si
35,2,1,4,4,2021-01-03,2021-01-07,2021-01-05,19.66,325.29,16.55,2,Si
36,5,2,3,14,2021-01-05,2021-01-09,2021-01-12,125.78,891.01,7.08,7,No
37,5,2,3,8,2021-01-04,2021-01-08,2021-01-05,165.22,1068.49,6.47,1,Si
38,3,1,3,8,2021-01-04,2021-01-08,2021-01-05,8.34,283.38,33.98,1,Si
39,1,1,3,13,2021-01-04,2021-01-08,2021-01-07,7.63,215.78,28.28,3,Si
40,3,1,3,9,2021-01-04,2021-01-08,2021-01-05,22.24,380.68,17.12,1,Si
