SK_Cliente,SK_Producto,SK_Tienda,FechaVenta,Cantidad,PrecioVenta
73,58,2,2021-01-01 20:57:25,1,240.63
24,9,3,2021-01-01 19:40:28,2,1741.65
88,21,1,2021-01-01 11:49:30,1,1194.01
84,5,14,2021-01-01 19:40:46,4,2401.83
16,24,15,2021-01-01 08:02:01,1,1517.43
64,60,4,2021-01-01 14:24:30,1,284.96
15,5,6,2021-01-01 17:10:25,3,2447.84
2,24,7,2021-01-01 13:54:29,1,1395.21
52,36,14,2021-01-01 16:59:47,1,376.49
48,74,6,2021-01-01 10:50:20,2,1889.77
28,1,5,2021-01-01 20:16:38,2,2077.26
81,25,1,2021-01-01 13:29:48,1,423.75
51,36,3,2021-01-01 14:58:33,1,350.9
22,60,11,2021-01-01 15:48:49,2,249.8
74,54,1,2021-01-01 14:14:28,1,741.81
35,38,7,2021-01-01 11:49:52,5,355.72
84,56,7,2021-01-01 19:55:19,1,971.03
78,40,12,2021-01-01 13:39:15,1,503.7
8,73,5,2021-01-01 14:09:04,1,1786.47
89,43,5,2021-01-01 20:01:50,1,1619.42
61,3,9,2021-01-02 14:42:04,1,2070.79
4,5,4,2021-01-02 10:24:14,1,2326.05
8,33,10,2021-01-02 14:52:44,1,254.81
42,21,6,2021-01-02 14:09:02,2,1297.68
65,20,8,2021-01-02 11:17:19,1,2119.79
22,14,3,2021-01-02 14:47:20,2,1434.31
8,20,6,2021-01-02 15:54:41,1,1941.68
8,74,13,2021-01-02 11:57:55,2,1765.51
27,52,5,2021-01-02 08:52:49,1,482.76
16,71,8,2021-01-02 19:56:56,1,2405.53
69,54,7,2021-01-02 20:25:47,1,680.14
14,39,5,2021-01-02 15:17:10,3,490.4
53,15,5,2021-01-02 12:50:47,5,1443.06
85,48,9,2021-01-02 16:09:47,3,599.66
22,49,9,2021-01-03 15:46:02,1,465.36
28,70,5,2021-01-03 16:37:16,3,2346.15
53,35,6,2021-01-03 15:11:47,3,314.18
46,73,9,2021-01-03 10:11:06,1,1577.37
82,31,6,2021-01-03 18:52:24,1,433.08
36,36,1,2021-01-03 14:48:14,2,399.05
65,57,15,2021-01-03 09:58:12,1,305.1
16,57,13,2021-01-03 16:47:41,1,310.35
60,7,15,2021-01-03 16:53:50,1,2739.39
81,3,2,2021-01-03 13:00:29,1,2144.41
43,73,13,2021-01-03 16:43:31,1,1585.54
18,62,15,2021-01-03 11:07:16,3,1968.72
30,33,1,2021-01-03 18:57:27,1,263.48
87,17,12,2021-01-04 13:16:43,2,1954.19
78,9,14,2021-01-04 08:42:09,1,1929.32
25,28,8,2021-01-04 18:41:41,3,433.48
16,33,6,2021-01-04 12:33:18,1,282.86
26,43,7,2021-01-04 17:58:35,1,1592.24
84,6,9,2021-01-04 13:50:47,1,2625.74
19,53,9,2021-01-04 17:09:48,5,738.31
79,64,4,2021-01-04 14:43:24,3,2001.81
74,70,1,2021-01-04 18:34:46,4,2227.25
84,64,10,2021-01-04 18:44:28,1,2105.4
51,24,4,2021-01-04 17:17:30,2,1470.26
42,37,6,2021-01-04 17:21:26,3,456.94
65,76,9,2021-01-04 19:06:21,1,1922.77
61,71,6,2021-01-04 16:56:18,1,2290.9
85,53,6,2021-01-04 14:39:20,1,743.83
89,6,7,2021-01-04 18:22:57,3,2532.85
85,19,13,2021-01-04 12:45:22,1,2134.31
73,55,14,2021-01-05 14:35:53,2,755.4
72,46,3,2021-01-05 09:46:58,1,652.56
62,44,8,2021-01-05 10:20:38,4,1444.14
42,69,12,2021-01-05 13:30:19,1,2126.68
1,54,11,2021-01-05 13:59:37,1,748.92
85,17,6,2021-01-05 13:54:59,3,2154.6
24,33,2,2021-01-05 10:33:32,1,260.09
9,16,9,2021-01-05 15:33:10,1,1705.45
78,26,2,2021-01-05 16:32:20,2,580.82
40,31,7,2021-01-05 14:46:05,2,423.81
8,15,3,2021-01-05 17:40:11,1,1588.33
15,41,3,2021-01-06 15:36:12,3,1593.09
56,28,10,2021-01-06 18:21:28,1,461.48
10,17,15,2021-01-06 19:31:54,1,2076.43
56,38,12,2021-01-06 10:53:43,1,344.92
65,69,11,2021-01-06 19:30:55,2,2000.93
41,66,6,2021-01-06 13:25:50,4,1294.98
23,64,6,2021-01-07 09:05:14,2,2054.12
60,13,5,2021-01-07 14:29:04,1,1562.6
63,33,1,2021-01-07 20:43:35,1,268.0
73,54,12,2021-01-07 16:03:13,1,711.46
27,49,5,2021-01-07 18:36:47,1,451.58
60,49,7,2021-01-07 19:28:36,1,449.77
100,30,4,2021-01-07 13:14:59,3,321.99
68,53,12,2021-01-07 10:20:31,1,711.14
54,76,4,2021-01-07 13:18:45,2,2011.35
85,34,10,2021-01-07 09:40:34,1,352.21
69,70,5,2021-01-07 18:43:00,4,2426.5
62,17,7,2021-01-07 09:58:58,4,1955.63
16,8,12,2021-01-07 13:34:27,1,2690.68
89,67,6,2021-01-07 20:27:33,1,1730.25
22,14,14,2021-01-07 14:56:31,1,1362.42
100,76,3,2021-01-07 09:38:42,5,2011.35
25,72,14,2021-01-07 15:19:37,3,2230.34
67,21,4,2021-01-07 12:39:38,1,1175.57
70,66,3,2021-01-08 09:38:28,1,1286.65
55,72,1,2021-01-08 13:00:45,2,2337.94
61,36,9,2021-01-08 12:15:39,1,399.05
54,9,7,2021-01-08 19:27:16,1,1788.19
54,37,8,2021-01-08 20:35:57,2,422.69
93,16,9,2021-01-08 17:56:01,1,1705.45
64,76,10,2021-01-08 18:03:43,5,1840.37
53,28,11,2021-01-08 11:24:32,1,460.2
89,62,11,2021-01-08 08:22:33,2,1874.9
24,4,9,2021-01-08 09:21:17,3,1853.35
44,69,9,2021-01-08 16:55:04,4,2093.5
64,1,7,2021-01-08 13:45:39,1,2274.7
70,46,11,2021-01-08 14:37:48,1,654.53
21,29,13,2021-01-08 12:25:49,2,400.4
15,4,6,2021-01-09 15:40:02,1,1844.92
89,21,2,2021-01-09 10:45:43,1,1293.6
28,51,2,2021-01-09 19:25:14,2,415.72
12,47,11,2021-01-09 08:35:28,3,649.22
31,1,12,2021-01-09 15:39:33,1,2274.7
12,63,11,2021-01-09 13:52:13,1,2093.75
94,52,4,2021-01-09 09:04:01,4,471.56
62,42,2,2021-01-09 18:05:31,1,1614.83
96,68,6,2021-01-09 08:21:23,3,1788.45
90,35,13,2021-01-09 17:12:36,1,321.26
96,72,15,2021-01-09 19:22:59,1,2352.13
7,60,5,2021-01-09 08:37:19,5,260.44
99,74,1,2021-01-09 08:11:09,1,1657.26
27,66,3,2021-01-09 18:58:03,1,1402.43
38,23,12,2021-01-10 10:09:46,1,1241.95
15,75,2,2021-01-10 11:49:47,2,1416.57
15,7,5,2021-01-10 16:04:47,1,2802.57
84,38,5,2021-01-10 12:57:42,5,320.15
86,34,5,2021-01-10 20:24:09,1,372.86
99,20,3,2021-01-10 13:58:44,1,2037.26
26,29,14,2021-01-10 12:29:07,3,380.39
30,34,13,2021-01-10 20:50:24,1,333.18
47,1,7,2021-01-10 11:00:54,2,2274.7
35,1,14,2021-01-10 17:45:49,1,2178.24
41,47,8,2021-01-10 15:24:14,1,581.03
87,50,9,2021-01-10 14:38:53,2,471.23
75,76,4,2021-01-11 17:01:32,2,1979.75
45,6,8,2021-01-11 18:47:43,2,2801.6
59,33,3,2021-01-11 16:52:12,1,252.73
7,22,9,2021-01-11 14:48:58,1,1391.31
84,20,7,2021-01-11 18:55:13,1,2078.29
72,33,10,2021-01-11 14:45:31,2,269.25
12,39,15,2021-01-11 13:19:29,2,477.34
32,29,5,2021-01-11 08:09:35,4,428.44
17,3,11,2021-01-11 16:31:54,1,2010.76
49,34,6,2021-01-11 13:38:47,4,350.11
10,60,12,2021-01-11 09:30:39,4,258.28
79,58,11,2021-01-11 13:06:54,1,240.35
82,36,4,2021-01-11 12:01:10,1,360.86
66,48,7,2021-01-11 12:08:01,1,582.28
84,25,5,2021-01-11 16:14:09,2,439.58
38,27,10,2021-01-11 18:28:57,1,661.25
49,71,9,2021-01-12 16:23:39,1,2357.11
87,15,9,2021-01-12 08:32:58,1,1523.51
12,28,7,2021-01-12 08:01:00,2,460.19
77,63,9,2021-01-12 15:24:22,1,1991.36
59,33,12,2021-01-12 08:10:18,1,254.51
81,3,1,2021-01-12 13:46:23,5,2017.92
71,15,15,2021-01-12 16:36:02,1,1581.62
80,75,5,2021-01-12 08:14:44,2,1473.25
34,12,7,2021-01-12 17:40:13,1,1938.98
45,70,12,2021-01-12 15:42:35,1,2320.4
20,42,10,2021-01-12 18:44:02,3,1649.77
12,37,15,2021-01-12 19:59:14,5,463.72
64,21,12,2021-01-12 14:06:48,2,1277.98
31,2,8,2021-01-12 11:27:16,1,2123.7
93,72,5,2021-01-12 13:46:45,1,2369.87
5,6,15,2021-01-12 09:59:54,1,2602.9
68,9,8,2021-01-12 09:50:19,1,1716.2
27,33,10,2021-01-12 10:09:07,1,277.22
67,74,10,2021-01-12 10:26:31,2,1848.97
64,15,13,2021-01-12 15:54:39,1,1504.45
55,76,11,2021-01-12 09:05:50,1,1773.83
35,45,11,2021-01-12 11:18:18,4,650.79
18,48,11,2021-01-12 09:59:05,4,624.83
49,17,14,2021-01-12 19:59:08,2,2152.34
14,40,11,2021-01-12 10:46:07,1,503.7
49,49,14,2021-01-12 14:47:49,5,454.88
41,14,6,2021-01-12 20:17:51,1,1355.72
6,7,15,2021-01-12 14:05:15,1,2944.21
30,57,11,2021-01-13 17:11:54,1,310.67
23,29,15,2021-01-13 12:42:57,1,399.44
52,70,2,2021-01-13 15:43:48,2,2391.47
76,57,8,2021-01-13 11:13:27,1,306.22
87,47,14,2021-01-13 08:56:37,1,636.68
76,5,12,2021-01-13 18:15:52,1,2286.96
75,23,9,2021-01-13 15:59:37,3,1172.93
89,15,15,2021-01-13 16:12:00,1,1452.54
76,70,2,2021-01-13 13:49:34,2,2180.96
73,4,7,2021-01-13 12:31:41,2,1984.87
76,72,10,2021-01-13 11:21:43,1,2095.39
74,7,5,2021-01-13 10:17:07,1,2979.17
31,64,4,2021-01-13 14:42:58,2,2151.19
87,39,3,2021-01-14 12:15:07,2,467.6
70,25,9,2021-01-14 17:54:03,4,385.64
100,12,14,2021-01-14 15:59:46,1,1746.58
57,63,10,2021-01-14 13:45:36,1,1944.47
57,29,6,2021-01-14 19:14:51,2,402.04
82,54,5,2021-01-14 19:58:18,1,752.39
20,1,4,2021-01-14 09:52:40,2,1999.35
12,20,4,2021-01-14 15:52:25,2,2036.79
6,61,15,2021-01-14 19:57:28,2,1987.66
94,8,15,2021-01-14 09:03:44,5,2979.58
38,74,11,2021-01-14 12:45:14,1,1742.83
7,33,14,2021-01-14 19:16:53,1,251.4
74,9,14,2021-01-14 11:14:28,1,1813.25
18,31,15,2021-01-14 14:34:55,2,423.24
74,29,1,2021-01-14 14:19:20,4,415.44
39,4,15,2021-01-15 09:07:57,1,1748.7
87,72,13,2021-01-15 11:17:39,3,2191.88
45,32,6,2021-01-15 08:25:58,1,415.59
22,51,13,2021-01-15 17:40:41,5,425.87
35,39,10,2021-01-15 12:23:26,2,485.34
80,54,5,2021-01-15 14:58:36,1,674.71
22,49,12,2021-01-15 16:11:38,2,435.38
21,29,11,2021-01-15 13:19:05,1,394.51
79,36,6,2021-01-15 16:44:55,4,399.05
55,76,15,2021-01-15 13:55:53,1,2011.35
40,35,14,2021-01-15 08:58:13,3,306.22
58,48,5,2021-01-15 19:59:40,2,641.83
32,41,13,2021-01-16 20:38:19,1,1581.01
45,21,13,2021-01-16 12:52:42,2,1306.53
26,22,12,2021-01-16 18:38:34,1,1419.67
57,76,3,2021-01-16 13:24:48,2,1960.2
71,26,10,2021-01-16 13:40:52,1,544.85
63,20,12,2021-01-16 09:40:20,1,1971.36
74,33,2,2021-01-16 19:10:46,1,250.76
81,51,14,2021-01-16 11:38:59,1,402.92
27,30,6,2021-01-17 20:07:36,1,307.94
27,44,9,2021-01-17 19:33:31,3,1300.38
51,61,1,2021-01-17 19:43:21,1,1946.3
52,56,1,2021-01-17 11:57:03,2,1022.79
